reviewContent,name,klasifikasi
matul bangetz barangnya berfungsi sesuai harapan sukses trus bwt toko dan lazada pengiriman super cepat blum waktunya udah lngsung dikirim mantul dah poko e,Nassuri,Positive
maap bru ksi ulasan barang yampe dengan slamt dan aman tpi belum di coba krna belum sempet moga awet dan dan bagus,Lazada Customer,Positive
barang sesuai pesanan pengiriman tepat waktu paking rapih puas banget,Lazada Customer,Positive
ok,Verly T.,Positive
item arrived in perfect condition and still working well until today fast delivery and great customer service communication thanks,Alethia H.,Neutral
ini cuman my passport biasa bukan my passport ultra tulis deskripsi yang bener ya,Syintia D.,Negative
awet,Yunita G.,Positive
untuk semua hardisk kah gan,Obby A.,Positive
product ok sesuai dengan foto pengiriman lebih cepat dari estimasi ok,Achmad T.,Positive
barang sesuai gambar dan bagus,ANANG P.,Positive
tidak sesuai gambar,Andi U.,Negative
3 kali cicilan maksudnya 3 bln ya persyaratan untuk kredit apa aja ya,Lazada Guest,Negative
kualitas barangny bisa di jamin g ya,Lazada Guest,Negative
klu saya mau beli tv di lazada di jamin g ya kualitasnya,Lazada Guest,Neutral
gmna,Lazada Guest,Neutral
barang sampai dengan baik packingnya bagus isi kotaknya lengkap ada casing hdd kabel male to male obeng kecil baut sama wadah luar alhamdulillaah bisa digunakan dengan baik semoga awet terima kasih,Rima A.,Positive
pengiriman cepat packing rapi dan aman barang sesuai deskripsi mulai dati pemasangan sampai pemakaian tak ada kendala bekerja dengan normal,Ari S.,Positive
packing rapih semoga awet thanks lazada,Arysto A.,Positive
packingnya rapi barangnya bagus dan murah tq,Willyam C.,Positive
lumayan lah untuk harga segini sayang ngebaca hdd 700gb lemot euy,reza a.,Neutral
cukup puas barang trima ksih lazada,Ukat S.,Positive
bagus,Andi S.,Positive
lumayan,Monkz-666,Neutral
barang bekerja dengan baik harga murah tapi pengiriman agak lama sukses terus lazada,Fanto B.,Positive
cepat sampai original sudah di test dan sekarang jd tandem ssd intel saya terima kasih,Sondya L.,Positive
pengiriman cepat barang bagus,ZURYANA,Positive
recomended thx,Adi L.,Positive
sesuai tapi powerbanknya ringan sekali sesuai harga sih,Rayqa,Positive
barang dipacking kuat dan rapih cepat sampai sesuai estimasi trimakasih kotakom,cica O.,Positive
barang di pesan tanggal13 juli tgl14 barang sudah di kirim tanggal 26 barang sampai memang sedikit lama tapi saya maklum kok karena barang nya dari luar negri packing rapi barang berfungsi dengan baik,panji f.,Positive
good dan bisa di pake,Ajman N.,Positive
udah hampir 2 minggu barang belum jg nyampe order tgl 27 april 2017 status pesanan masi aja dlm proses gmana ni lazada,ferry s.,Negative
barangnya udah sampai thanks lazada,khaerun s.,Positive
mohon bantuan nya kok barangnya belom sampai udh 21hari sy tunggu gag kunjung datang mohon diperhatikan terima kasih,Riyan H.,Negative
barang datang cepat mulus semoga tidak ada masalah kedepannya,Adam R.,Positive
hanya bisa menyimpan sedikit file padahal kapasitas 16 gb sebagian besar file lainnya tidak bisa terbaca padahal sudah saya coba beberapa kali,Meriyah,Neutral
tidak bisa menyimpan data,ibnu l.,Negative
ga kecewa deh barang keren kemasan rapih makasih bos,Edo R.,Positive
barang oke,Muhammad S.,Positive
karna tidak bisa nyimpan film dan data,Lazada Guest,Negative
bagus produknya,jamal F.,Positive
pesanan saya yg ini belum saya terima kenapa dibuat sudah saya terima tolong dong ini dicek lagi,Yen Z.,Positive
barangnya bagus,Mulyadi H.,Positive
blom keterima,Dedeh D.,Positive
produk nya mantap,Achiranto L.,Positive
so far so good,Lazada Customer,Positive
barang ok kiriman tepat waktu,Ni P.,Positive
sesuai,Miny B.,Positive
barang bagus tapi sayang pengiriman dari pihak j t barangnya kesasar ke kota pamekasan padahal sudah tercantum kota sampang utk j t lebih hati hati lagi ya untung tidak hilang barangnya utk seller top fast response,Helmi A.,Positive
barang nyampai dgn mulus tdk ada cacat,moch A.,Positive
thanks lazada barang nya sesuai expektasi,fahmi A.,Positive
barang good pengiriman cepat kurir mantap ramah makasih lazada,kang W.,Positive
barang berfungsi normal semoga awet,andriyanto,Positive
barang sesuai deskripsi dan orderan,Mumtaz A.,Positive
falshdisk bagus berfungsi dengan baik,Mohamad Z.,Positive
barang sesuai pesanan mantab,GIGIH H.,Positive
thx lazada semoga fdnya awet,Mokhammad R.,Positive
pengiriman cepat smoga awet,Yunanto A.,Positive
pengiriman cepat brgnya mantap,KURNIAWAN,Positive
sampai dgn selamat dan aman,Mhd A.,Positive
saya belum terima barangnya,Lazada Customer,Positive
brg ok sampai cepat,Trio T.,Positive
mantap,Adolf A.,Positive
sip,RuudJR R.,Positive
pengiriman on time cuman packing sederhana sekali tanpa bubble wrap,Hendrik,Positive
kurir baik n bertanggungjawab barang sesuai spesifikasi semoga awet ya,Agus,Positive
barang cepat sampai sesuai pesanan,Lazada Customer,Positive
barang ok kemasan rapih,Mamahnya D.,Positive
mantap sesuai pesanan nih mah pokok nya joss,Lazada Customer,Positive
bagus dan sangat sesuai dengan kebutuhan,Denny V.,Positive
lumayan dengan harga segitu packing rapih pengiriman cepat semoga tidak ada kendala,Teguh M.,Positive
mudah mudahan bisa beli laptop mahals kalo bisa beli asus rog aja wkwk,Lazada Guest,Positive
pengen beli budget ga cukup,Anonymous,Positive
yah lumayan lah tapi saya ketemu ram 16gb ddr4 pake rx460 i7 6700hq malah 9 jutaan,Lazada Guest,Positive
tunggu gua jual lepi lama gua ama ngutang tetangga sebelah nanti gua beli,Lazada Guest,Positive
apa produk aslinya sesuai dgn yg di gambar ini,Lazada Guest,Positive
dikantong cuma ada 15rb,Lazada Guest,Positive
,.,Negative
